"","x"
"1666","Group2"
"1667","Group6"
"1668","Group4"
"1669","Group7"
"1670","Group4"
"1671","Group7"
"1672","Group4"
"1673","Group5"
"1674","Group6"
"1675","Group5"
"1676","Group3"
"1677","Group3"
"1678","Group7"
"1679","Group3"
"1680","Group2"
"1681","Group4"
"1682","Group4"
"1683","Group6"
"1684","Group2"
"1685","Group7"
"1686","Group5"
"1687","Group3"
"1688","Group6"
"1689","Group6"
"1690","Group1"
"1691","Group7"
"1692","Group6"
"1693","Group7"
"1694","Group5"
"1695","Group3"
"1696","Group6"
"1697","Group2"
"1698","Group6"
"1699","Group3"
"1700","Group5"
"1701","Group4"
"1702","Group4"
"1703","Group4"
"1704","Group6"
"1705","Group3"
"1706","Group3"
"1707","Group2"
"1708","Group5"
"1709","Group6"
"1710","Group3"
"1711","Group3"
"1712","Group7"
"1713","Group6"
"1714","Group2"
"1715","Group1"
"1716","Group5"
"1717","Group1"
"1718","Group6"
"1719","Group4"
"1720","Group2"
"1721","Group5"
"1722","Group4"
"1723","Group3"
"1724","Group4"
"1725","Group2"
"1726","Group6"
"1727","Group4"
"1728","Group4"
"1729","Group7"
"1730","Group1"
"1731","Group1"
"1732","Group7"
"1733","Group1"
"1734","Group7"
"1735","Group4"
"1736","Group1"
"1737","Group2"
"1738","Group7"
"1739","Group4"
"1740","Group1"
"1741","Group7"
"1742","Group3"
"1743","Group3"
"1744","Group6"
"1745","Group7"
"1746","Group6"
"1747","Group7"
"1748","Group1"
"1749","Group6"
"1750","Group3"
"1751","Group7"
"1752","Group7"
"1753","Group2"
"1754","Group7"
"1755","Group6"
"1756","Group4"
"1757","Group1"
"1758","Group1"
"1759","Group5"
"1760","Group6"
"1761","Group5"
"1762","Group3"
"1763","Group7"
"1764","Group7"
"1765","Group6"
"1766","Group3"
"1767","Group3"
"1768","Group3"
"1769","Group5"
"1770","Group3"
"1771","Group6"
"1772","Group1"
"1773","Group6"
"1774","Group4"
"1775","Group1"
"1776","Group7"
"1777","Group6"
"1778","Group7"
"1779","Group6"
"1780","Group7"
"1781","Group5"
"1782","Group4"
"1783","Group4"
"1784","Group3"
"1785","Group7"
"1786","Group2"
"1787","Group3"
"1788","Group3"
"1789","Group1"
"1790","Group7"
"1791","Group5"
"1792","Group4"
"1793","Group7"
"1794","Group6"
"1795","Group7"
"1796","Group2"
"1797","Group4"
"1798","Group7"
"1799","Group4"
"1800","Group1"
"1801","Group1"
"1802","Group2"
"1803","Group4"
"1804","Group6"
"1805","Group6"
"1806","Group2"
"1807","Group1"
"1808","Group5"
"1809","Group3"
"1810","Group6"
"1811","Group5"
"1812","Group4"
"1813","Group7"
"1814","Group4"
"1815","Group6"
"1816","Group5"
"1817","Group6"
"1818","Group7"
"1819","Group1"
"1820","Group7"
"1821","Group5"
"1822","Group3"
"1823","Group6"
"1824","Group1"
"1825","Group4"
"1826","Group3"
"1827","Group6"
"1828","Group6"
"1829","Group5"
"1830","Group7"
"1831","Group5"
"1832","Group1"
"1833","Group2"
"1834","Group5"
"1835","Group2"
"1836","Group6"
"1837","Group3"
"1838","Group7"
"1839","Group4"
"1840","Group4"
"1841","Group7"
"1842","Group6"
"1843","Group6"
"1844","Group3"
"1845","Group7"
"1846","Group7"
"1847","Group3"
"1848","Group2"
"1849","Group6"
"1850","Group1"
"1851","Group3"
"1852","Group2"
"1853","Group7"
"1854","Group2"
"1855","Group7"
"1856","Group6"
"1857","Group3"
"1858","Group7"
"1859","Group4"
"1860","Group1"
"1861","Group5"
"1862","Group6"
"1863","Group6"
"1864","Group1"
"1865","Group7"
"1866","Group6"
"1867","Group6"
"1868","Group3"
"1869","Group4"
"1870","Group7"
"1871","Group4"
"1872","Group1"
"1873","Group3"
"1874","Group4"
"1875","Group3"
"1876","Group4"
"1877","Group3"
"1878","Group6"
"1879","Group3"
"1880","Group5"
"1881","Group6"
"1882","Group7"
"1883","Group6"
"1884","Group6"
"1885","Group5"
"1886","Group6"
"1887","Group6"
"1888","Group6"
"1889","Group2"
"1890","Group7"
"1891","Group3"
"1892","Group7"
"1893","Group6"
"1894","Group7"
"1895","Group6"
"1896","Group4"
"1897","Group7"
"1898","Group6"
"1899","Group3"
"1900","Group4"
"1901","Group7"
"1902","Group4"
"1903","Group4"
"1904","Group3"
"1905","Group5"
"1906","Group6"
"1907","Group7"
"1908","Group5"
"1909","Group6"
"1910","Group6"
"1911","Group2"
"1912","Group4"
"1913","Group7"
"1914","Group3"
"1915","Group6"
"1916","Group3"
"1917","Group7"
"1918","Group4"
"1919","Group6"
"1920","Group7"
"1921","Group3"
"1922","Group3"
"1923","Group5"
"1924","Group5"
"1925","Group1"
"1926","Group3"
"1927","Group7"
"1928","Group6"
"1929","Group7"
"1930","Group2"
"1931","Group1"
"1932","Group6"
"1933","Group3"
"1934","Group6"
"1935","Group2"
"1936","Group3"
"1937","Group7"
"1938","Group5"
"1939","Group6"
"1940","Group3"
"1941","Group3"
"1942","Group6"
"1943","Group7"
"1944","Group7"
"1945","Group7"
"1946","Group2"
"1947","Group1"
"1948","Group4"
"1949","Group1"
"1950","Group7"
"1951","Group4"
"1952","Group6"
"1953","Group6"
"1954","Group6"
"1955","Group1"
"1956","Group3"
"1957","Group3"
"1958","Group5"
"1959","Group2"
"1960","Group3"
"1961","Group5"
"1962","Group3"
"1963","Group6"
"1964","Group6"
"1965","Group2"
"1966","Group6"
"1967","Group3"
"1968","Group1"
"1969","Group6"
"1970","Group5"
"1971","Group6"
"1972","Group3"
"1973","Group1"
"1974","Group3"
"1975","Group5"
"1976","Group4"
"1977","Group3"
"1978","Group3"
"1979","Group7"
"1980","Group6"
"1981","Group4"
"1982","Group3"
"1983","Group3"
"1984","Group3"
"1985","Group5"
"1986","Group6"
"1987","Group3"
"1988","Group5"
"1989","Group2"
"1990","Group4"
"1991","Group6"
"1992","Group1"
"1993","Group3"
"1994","Group4"
"1995","Group7"
"1996","Group7"
"1997","Group4"
"1998","Group7"
"1999","Group2"
"2000","Group3"
"2001","Group3"
"2002","Group4"
"2003","Group7"
"2004","Group3"
"2005","Group3"
"2006","Group4"
"2007","Group5"
"2008","Group6"
"2009","Group7"
"2010","Group3"
"2011","Group3"
"2012","Group6"
"2013","Group2"
"2014","Group6"
"2015","Group1"
"2016","Group3"
"2017","Group6"
"2018","Group6"
"2019","Group3"
"2020","Group6"
"2021","Group3"
"2022","Group1"
"2023","Group3"
"2024","Group7"
"2025","Group3"
"2026","Group6"
"2027","Group7"
"2028","Group4"
"2029","Group5"
"2030","Group7"
"2031","Group3"
"2032","Group6"
"2033","Group6"
"2034","Group3"
"2035","Group4"
"2036","Group7"
"2037","Group2"
"2038","Group3"
"2039","Group7"
"2040","Group1"
"2041","Group3"
"2042","Group1"
"2043","Group7"
"2044","Group3"
"2045","Group3"
"2046","Group6"
"2047","Group3"
"2048","Group6"
"2049","Group2"
"2050","Group2"
"2051","Group4"
"2052","Group5"
"2053","Group6"
"2054","Group1"
"2055","Group4"
"2056","Group3"
"2057","Group6"
"2058","Group2"
"2059","Group6"
"2060","Group7"
"2061","Group2"
"2062","Group6"
"2063","Group6"
"2064","Group1"
"2065","Group6"
"2066","Group4"
"2067","Group2"
"2068","Group4"
"2069","Group2"
"2070","Group6"
"2071","Group6"
"2072","Group5"
"2073","Group6"
"2074","Group2"
"2075","Group2"
"2076","Group7"
"2077","Group7"
"2078","Group1"
"2079","Group3"
"2080","Group1"
"2081","Group3"
"2082","Group1"
"2083","Group3"
"2084","Group6"
"2085","Group7"
"2086","Group3"
"2087","Group5"
"2088","Group3"
"2089","Group5"
"2090","Group3"
"2091","Group7"
"2092","Group1"
"2093","Group6"
"2094","Group3"
"2095","Group7"
"2096","Group4"
"2097","Group3"
"2098","Group1"
"2099","Group7"
"2100","Group5"
"2101","Group4"
"2102","Group7"
"2103","Group6"
"2104","Group6"
"2105","Group2"
"2106","Group3"
"2107","Group4"
"2108","Group3"
"2109","Group6"
"2110","Group3"
"2111","Group7"
"2112","Group7"
"2113","Group6"
"2114","Group5"
"2115","Group6"
"2116","Group5"
"2117","Group6"
"2118","Group7"
"2119","Group5"
"2120","Group5"
"2121","Group6"
"2122","Group6"
"2123","Group2"
"2124","Group4"
"2125","Group3"
"2126","Group7"
"2127","Group1"
"2128","Group7"
"2129","Group3"
"2130","Group3"
"2131","Group7"
"2132","Group6"
"2133","Group2"
"2134","Group2"
"2135","Group4"
"2136","Group3"
"2137","Group3"
"2138","Group1"
"2139","Group4"
"2140","Group6"
"2141","Group6"
"2142","Group6"
"2143","Group3"
"2144","Group6"
"2145","Group1"
"2146","Group6"
"2147","Group7"
"2148","Group5"
"2149","Group6"
"2150","Group6"
"2151","Group3"
"2152","Group7"
"2153","Group2"
"2154","Group7"
"2155","Group6"
"2156","Group6"
"2157","Group1"
"2158","Group2"
"2159","Group3"
"2160","Group4"
"2161","Group6"
"2162","Group1"
"2163","Group1"
"2164","Group4"
"2165","Group6"
"2166","Group6"
"2167","Group4"
"2168","Group1"
"2169","Group7"
"2170","Group6"
"2171","Group3"
"2172","Group3"
"2173","Group5"
"2174","Group3"
"2175","Group3"
"2176","Group3"
"2177","Group3"
"2178","Group2"
"2179","Group3"
"2180","Group1"
"2181","Group6"
"2182","Group6"
"2183","Group4"
"2184","Group2"
"2185","Group7"
"2186","Group6"
"2187","Group7"
"2188","Group3"
"2189","Group7"
"2190","Group4"
"2191","Group3"
"2192","Group6"
"2193","Group3"
"2194","Group7"
"2195","Group4"
"2196","Group6"
"2197","Group3"
"2198","Group6"
"2199","Group4"
"2200","Group1"
"2201","Group3"
"2202","Group7"
"2203","Group1"
"2204","Group6"
"2205","Group4"
"2206","Group7"
"2207","Group4"
"2208","Group2"
"2209","Group3"
"2210","Group4"
"2211","Group2"
"2212","Group7"
"2213","Group5"
"2214","Group5"
"2215","Group7"
"2216","Group3"
"2217","Group3"
"2218","Group6"
"2219","Group4"
"2220","Group4"
"2221","Group4"
"2222","Group7"
"2223","Group3"
"2224","Group2"
"2225","Group7"
"2226","Group3"
"2227","Group2"
"2228","Group6"
"2229","Group5"
"2230","Group7"
"2231","Group4"
"2232","Group7"
"2233","Group3"
"2234","Group6"
"2235","Group5"
"2236","Group5"
"2237","Group4"
"2238","Group1"
"2239","Group6"
"2240","Group5"
"2241","Group2"
"2242","Group6"
"2243","Group1"
"2244","Group6"
"2245","Group5"
"2246","Group7"
"2247","Group3"
"2248","Group6"
"2249","Group5"
"2250","Group5"
"2251","Group6"
"2252","Group7"
"2253","Group2"
"2254","Group6"
"2255","Group3"
"2256","Group6"
"2257","Group1"
"2258","Group1"
"2259","Group1"
"2260","Group6"
"2261","Group2"
"2262","Group5"
"2263","Group7"
"2264","Group1"
"2265","Group2"
"2266","Group4"
"2267","Group3"
"2268","Group7"
"2269","Group1"
"2270","Group4"
"2271","Group4"
"2272","Group2"
"2273","Group3"
"2274","Group3"
"2275","Group6"
"2276","Group7"
"2277","Group6"
"2278","Group7"
"2279","Group1"
"2280","Group6"
"2281","Group2"
"2282","Group1"
"2283","Group2"
"2284","Group7"
"2285","Group3"
"2286","Group4"
"2287","Group3"
"2288","Group5"
"2289","Group6"
"2290","Group5"
"2291","Group3"
"2292","Group6"
"2293","Group7"
"2294","Group3"
"2295","Group2"
"2296","Group3"
"2297","Group4"
"2298","Group7"
"2299","Group3"
"2300","Group6"
"2301","Group5"
"2302","Group6"
"2303","Group7"
"2304","Group2"
"2305","Group7"
"2306","Group2"
"2307","Group7"
"2308","Group7"
"2309","Group6"
"2310","Group5"
"2311","Group6"
"2312","Group7"
"2313","Group6"
"2314","Group3"
"2315","Group2"
"2316","Group5"
"2317","Group1"
"2318","Group1"
"2319","Group6"
"2320","Group7"
"2321","Group3"
"2322","Group6"
"2323","Group6"
"2324","Group6"
"2325","Group1"
"2326","Group5"
"2327","Group6"
"2328","Group3"
"2329","Group5"
"2330","Group6"
"2331","Group7"
"2332","Group4"
"2333","Group1"
"2334","Group2"
"2335","Group2"
"2336","Group6"
"2337","Group3"
"2338","Group7"
"2339","Group2"
"2340","Group5"
"2341","Group7"
"2342","Group3"
"2343","Group3"
"2344","Group1"
"2345","Group3"
"2346","Group6"
"2347","Group5"
"2348","Group6"
"2349","Group6"
"2350","Group6"
"2351","Group7"
"2352","Group7"
"2353","Group7"
"2354","Group5"
"2355","Group7"
"2356","Group1"
"2357","Group3"
"2358","Group3"
"2359","Group3"
"2360","Group7"
"2361","Group6"
"2362","Group2"
"2363","Group3"
"2364","Group3"
"2365","Group1"
"2366","Group3"
"2367","Group3"
"2368","Group3"
"2369","Group6"
"2370","Group7"
"2371","Group7"
"2372","Group7"
"2373","Group3"
"2374","Group3"
"2375","Group4"
"2376","Group6"
"2377","Group7"
"2378","Group7"
"2379","Group7"
"2380","Group7"
"2381","Group7"
"2382","Group4"
"2383","Group3"
"2384","Group7"
"2385","Group5"
"2386","Group1"
"2387","Group5"
"2388","Group1"
"2389","Group7"
"2390","Group3"
"2391","Group4"
"2392","Group6"
"2393","Group5"
"2394","Group4"
"2395","Group4"
"2396","Group5"
"2397","Group4"
"2398","Group1"
"2399","Group2"
"2400","Group3"
"2401","Group6"
"2402","Group3"
"2403","Group2"
"2404","Group5"
"2405","Group7"
"2406","Group7"
"2407","Group6"
"2408","Group7"
"2409","Group5"
"2410","Group7"
"2411","Group1"
"2412","Group3"
"2413","Group5"
"2414","Group3"
"2415","Group6"
"2416","Group3"
"2417","Group7"
"2418","Group6"
"2419","Group7"
"2420","Group3"
"2421","Group3"
"2422","Group5"
"2423","Group2"
"2424","Group2"
"2425","Group6"
"2426","Group6"
"2427","Group6"
"2428","Group5"
"2429","Group7"
"2430","Group6"
"2431","Group3"
"2432","Group6"
"2433","Group4"
"2434","Group5"
"2435","Group4"
"2436","Group6"
"2437","Group7"
"2438","Group6"
"2439","Group5"
"2440","Group5"
"2441","Group4"
"2442","Group3"
"2443","Group5"
"2444","Group2"
"2445","Group2"
"2446","Group7"
"2447","Group3"
"2448","Group5"
"2449","Group3"
"2450","Group6"
"2451","Group2"
"2452","Group2"
"2453","Group5"
"2454","Group6"
"2455","Group7"
"2456","Group2"
"2457","Group1"
"2458","Group6"
"2459","Group3"
"2460","Group3"
"2461","Group2"
"2462","Group6"
"2463","Group5"
"2464","Group7"
"2465","Group4"
"2466","Group7"
"2467","Group6"
"2468","Group7"
"2469","Group2"
"2470","Group6"
"2471","Group1"
"2472","Group7"
"2473","Group6"
"2474","Group1"
"2475","Group4"
"2476","Group5"
"2477","Group7"
"2478","Group5"
"2479","Group2"
"2480","Group3"
"2481","Group7"
"2482","Group1"
"2483","Group6"
"2484","Group1"
"2485","Group4"
"2486","Group3"
"2487","Group5"
"2488","Group6"
"2489","Group4"
"2490","Group5"
"2491","Group7"
"2492","Group3"
"2493","Group5"
"2494","Group6"
"2495","Group7"
"2496","Group2"
"2497","Group4"
"2498","Group6"
"2499","Group6"
"2500","Group4"
"2501","Group6"
"2502","Group5"
"2503","Group5"
"2504","Group1"
"2505","Group7"
"2506","Group3"
"2507","Group7"
"2508","Group7"
"2509","Group6"
"2510","Group7"
"2511","Group4"
"2512","Group1"
"2513","Group6"
"2514","Group3"
"2515","Group6"
"2516","Group7"
"2517","Group4"
"2518","Group4"
"2519","Group6"
"2520","Group6"
"2521","Group3"
"2522","Group7"
"2523","Group1"
"2524","Group3"
"2525","Group7"
"2526","Group7"
"2527","Group5"
"2528","Group1"
"2529","Group7"
"2530","Group5"
"2531","Group7"
"2532","Group7"
"2533","Group7"
"2534","Group3"
"2535","Group3"
"2536","Group7"
"2537","Group3"
"2538","Group3"
"2539","Group6"
"2540","Group2"
"2541","Group3"
"2542","Group2"
"2543","Group3"
"2544","Group6"
"2545","Group6"
"2546","Group4"
"2547","Group6"
"2548","Group6"
"2549","Group7"
"2550","Group6"
"2551","Group6"
"2552","Group6"
"2553","Group5"
"2554","Group3"
"2555","Group7"
"2556","Group7"
"2557","Group3"
"2558","Group5"
"2559","Group7"
"2560","Group1"
"2561","Group5"
"2562","Group1"
"2563","Group1"
"2564","Group2"
"2565","Group3"
"2566","Group4"
"2567","Group2"
"2568","Group7"
"2569","Group1"
"2570","Group7"
"2571","Group3"
"2572","Group4"
"2573","Group1"
"2574","Group2"
"2575","Group6"
"2576","Group2"
"2577","Group1"
"2578","Group5"
"2579","Group7"
"2580","Group7"
"2581","Group7"
"2582","Group7"
"2583","Group1"
"2584","Group3"
"2585","Group4"
"2586","Group6"
"2587","Group5"
"2588","Group3"
"2589","Group6"
"2590","Group5"
"2591","Group1"
"2592","Group7"
"2593","Group6"
"2594","Group6"
"2595","Group7"
"2596","Group1"
"2597","Group2"
"2598","Group5"
"2599","Group6"
"2600","Group2"
"2601","Group7"
"2602","Group3"
"2603","Group5"
"2604","Group5"
"2605","Group4"
"2606","Group1"
"2607","Group5"
"2608","Group6"
"2609","Group3"
"2610","Group4"
"2611","Group1"
"2612","Group7"
"2613","Group1"
"2614","Group6"
"2615","Group4"
"2616","Group3"
"2617","Group7"
"2618","Group5"
"2619","Group3"
"2620","Group3"
"2621","Group2"
"2622","Group6"
"2623","Group2"
"2624","Group3"
"2625","Group5"
"2626","Group7"
"2627","Group2"
"2628","Group3"
"2629","Group5"
"2630","Group3"
"2631","Group7"
"2632","Group7"
"2633","Group6"
"2634","Group1"
"2635","Group6"
"2636","Group5"
"2637","Group4"
"2638","Group2"
"2639","Group3"
"2640","Group4"
"2641","Group6"
"2642","Group5"
"2643","Group2"
"2644","Group7"
"2645","Group4"
"2646","Group1"
"2647","Group3"
"2648","Group3"
"2649","Group7"
"2650","Group3"
"2651","Group7"
"2652","Group3"
"2653","Group6"
"2654","Group6"
"2655","Group6"
"2656","Group3"
"2657","Group6"
"2658","Group3"
"2659","Group6"
"2660","Group3"
"2661","Group6"
"2662","Group4"
"2663","Group2"
"2664","Group7"
"2665","Group3"
"2666","Group7"
"2667","Group3"
"2668","Group7"
"2669","Group3"
"2670","Group6"
"2671","Group3"
"2672","Group6"
"2673","Group3"
"2674","Group4"
"2675","Group5"
"2676","Group4"
"2677","Group2"
"2678","Group2"
"2679","Group2"
"2680","Group1"
"2681","Group3"
"2682","Group3"
"2683","Group2"
"2684","Group1"
"2685","Group7"
"2686","Group7"
"2687","Group7"
"2688","Group7"
"2689","Group6"
"2690","Group2"
"2691","Group7"
"2692","Group2"
"2693","Group7"
"2694","Group6"
"2695","Group1"
"2696","Group3"
"2697","Group3"
"2698","Group3"
"2699","Group4"
"2700","Group6"
"2701","Group6"
"2702","Group7"
"2703","Group6"
"2704","Group7"
"2705","Group3"
"2706","Group6"
"2707","Group6"
"2708","Group6"
"2709","Group2"
"2710","Group2"
"2711","Group6"
"2712","Group7"
"2713","Group6"
"2714","Group6"
"2715","Group7"
"2716","Group4"
"2717","Group2"
"2718","Group6"
"2719","Group7"
"2720","Group1"
"2721","Group7"
"2722","Group5"
"2723","Group3"
"2724","Group6"
"2725","Group4"
"2726","Group5"
"2727","Group1"
"2728","Group6"
"2729","Group2"
"2730","Group3"
"2731","Group5"
"2732","Group1"
"2733","Group6"
"2734","Group3"
"2735","Group7"
"2736","Group7"
"2737","Group2"
"2738","Group7"
"2739","Group3"
"2740","Group6"
"2741","Group7"
"2742","Group3"
"2743","Group4"
"2744","Group7"
"2745","Group1"
"2746","Group7"
"2747","Group3"
"2748","Group7"
"2749","Group7"
"2750","Group4"
"2751","Group5"
"2752","Group3"
"2753","Group7"
"2754","Group6"
"2755","Group6"
"2756","Group3"
"2757","Group7"
"2758","Group2"
"2759","Group6"
"2760","Group3"
"2761","Group7"
"2762","Group2"
"2763","Group6"
"2764","Group7"
"2765","Group3"
"2766","Group1"
"2767","Group5"
"2768","Group6"
"2769","Group3"
"2770","Group7"
"2771","Group4"
"2772","Group6"
"2773","Group1"
"2774","Group3"
"2775","Group3"
"2776","Group7"
"2777","Group4"
"2778","Group5"
"2779","Group7"
"2780","Group3"
"2781","Group2"
"2782","Group6"
"2783","Group3"
"2784","Group6"
"2785","Group7"
"2786","Group5"
"2787","Group1"
"2788","Group6"
"2789","Group7"
"2790","Group4"
"2791","Group7"
"2792","Group7"
"2793","Group6"
"2794","Group6"
"2795","Group6"
"2796","Group2"
"2797","Group4"
"2798","Group6"
"2799","Group6"
"2800","Group3"
"2801","Group6"
"2802","Group6"
"2803","Group4"
"2804","Group7"
"2805","Group6"
"2806","Group3"
"2807","Group7"
"2808","Group2"
"2809","Group6"
"2810","Group5"
"2811","Group1"
"2812","Group1"
"2813","Group4"
"2814","Group6"
"2815","Group4"
"2816","Group3"
"2817","Group7"
"2818","Group5"
"2819","Group5"
"2820","Group2"
"2821","Group7"
"2822","Group7"
"2823","Group4"
"2824","Group4"
"2825","Group7"
"2826","Group6"
"2827","Group5"
"2828","Group1"
"2829","Group6"
"2830","Group3"
"2831","Group3"
"2832","Group5"
"2833","Group1"
"2834","Group3"
"2835","Group6"
"2836","Group1"
"2837","Group7"
"2838","Group6"
"2839","Group2"
"2840","Group6"
"2841","Group2"
"2842","Group7"
"2843","Group4"
"2844","Group1"
"2845","Group1"
"2846","Group3"
"2847","Group7"
"2848","Group7"
"2849","Group6"
"2850","Group4"
"2851","Group7"
"2852","Group7"
"2853","Group5"
"2854","Group4"
"2855","Group7"
"2856","Group1"
"2857","Group6"
"2858","Group3"
"2859","Group7"
"2860","Group7"
"2861","Group4"
"2862","Group3"
"2863","Group6"
"2864","Group3"
"2865","Group2"
"2866","Group3"
"2867","Group7"
"2868","Group5"
"2869","Group6"
"2870","Group4"
"2871","Group2"
"2872","Group4"
"2873","Group7"
"2874","Group6"
"2875","Group6"
"2876","Group7"
"2877","Group4"
"2878","Group4"
"2879","Group5"
"2880","Group5"
"2881","Group3"
"2882","Group5"
"2883","Group3"
"2884","Group4"
"2885","Group2"
"2886","Group7"
"2887","Group7"
"2888","Group1"
"2889","Group6"
"2890","Group5"
"2891","Group6"
"2892","Group6"
"2893","Group7"
"2894","Group1"
"2895","Group1"
"2896","Group5"
"2897","Group3"
"2898","Group3"
"2899","Group6"
"2900","Group3"
"2901","Group7"
"2902","Group7"
"2903","Group2"
"2904","Group3"
"2905","Group5"
"2906","Group3"
"2907","Group5"
"2908","Group3"
"2909","Group5"
"2910","Group5"
"2911","Group6"
"2912","Group7"
"2913","Group6"
"2914","Group6"
"2915","Group4"
"2916","Group6"
"2917","Group1"
"2918","Group4"
"2919","Group6"
"2920","Group1"
"2921","Group6"
"2922","Group6"
"2923","Group1"
"2924","Group4"
"2925","Group2"
"2926","Group3"
"2927","Group6"
"2928","Group6"
"2929","Group4"
"2930","Group2"
"2931","Group7"
"2932","Group5"
"2933","Group4"
"2934","Group1"
"2935","Group7"
"2936","Group3"
"2937","Group1"
"2938","Group5"
"2939","Group6"
"2940","Group3"
"2941","Group6"
"2942","Group7"
"2943","Group7"
"2944","Group1"
"2945","Group6"
"2946","Group6"
"2947","Group7"
"2948","Group3"
"2949","Group6"
"2950","Group3"
"2951","Group1"
"2952","Group1"
"2953","Group1"
"2954","Group6"
"2955","Group7"
"2956","Group1"
"2957","Group1"
"2958","Group6"
"2959","Group6"
"2960","Group1"
"2961","Group1"
"2962","Group7"
"2963","Group3"
"2964","Group1"
"2965","Group4"
"2966","Group4"
"2967","Group2"
"2968","Group6"
"2969","Group3"
"2970","Group3"
"2971","Group6"
"2972","Group5"
"2973","Group7"
"2974","Group6"
"2975","Group1"
"2976","Group5"
"2977","Group2"
"2978","Group3"
"2979","Group1"
"2980","Group7"
"2981","Group4"
"2982","Group5"
"2983","Group5"
"2984","Group3"
"2985","Group4"
"2986","Group3"
"2987","Group2"
"2988","Group5"
"2989","Group1"
"2990","Group2"
"2991","Group4"
"2992","Group7"
"2993","Group3"
"2994","Group6"
"2995","Group7"
"2996","Group3"
"2997","Group6"
"2998","Group4"
"2999","Group2"
"3000","Group3"
